Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa,1692717034.4701,1744189310.6604,1748516407.2276,1766372184.1818,1885518457.2975,1884311395.1833,1932350494.4645,1980238778.9513,2011146191.8684,2034289034.9219,2119198138.6926,2143993868.6012,2158597992.5663,2168546434.7404,2205033127.9919,2285258783.4578,2311584794.1865,2284775531.1221,2341101284.4278,2394587270.7704,2426099378.1374,2465954755.5429,2493823894.7242,2573349885.1915,2645092735.2844,2664784466.2729,2736778856.1926,2730948200.9102,2906610865.58,2927872031.1837,2871078381.8707,2986266046.2322,3145142489.217,3309180418.0398,3377075448.5426,3545768350.1092,3699977777.6153,3978313884.8528,4216636922.2966,4321867877.621,4522663252.4971,4591827806.1948,4835201523.7769,5068678079.3009,5193628940.9224,5261796734.7516,5291813328.5466,5383829817.5888,5553961254.2052,5745854029.8961,5763678693.1026,5918700670.6719,5994322237.0307,6015983541.2065,6176799349.4671
Asia + Pacific,7746609860.277,8091165352.4142,8382198311.1228,9039387895.7467,9126990915.7371,9332936365.7117,9778663255.7833,10210382112.063,10833327574.607,10893319944.823,10898913334.69,11187405681.163,11514192756.944,12234595936.996,12936979058.145,13274688383.156,14096989291.105,14777158231.017,15862104893.659,16421999724.575,16558070921.957,17069787984.384,18589237686.322,19717924796.558,20611482367.398,22092040250.678,23060240676.505,23067106613.763,22644246444.278,22891538307.557,23747585308.968,24748588819.786,25344854210.614,27060056521.234,28886313302.433,29987013947.124,31865438854.949,33222104748.567,34415961000.398,37822003369.249,41088007503.632,44651037569.442,47303076910.499,49300019571.818,50501877290.209,50397616930.023,51589790059.441,52084855279.344,52258310853.891,53664006294.722,53985495938.922,55935215394.893,56210516513.265,57492978647.709,59237352896.02
EECCA,,,,,,,,,,,,,,,,,,,,,,,2759412924.7292,2681706480.54,2428925844.7423,2202916564.7243,2071526780.5107,2089279749.4936,1818538752.7779,1659516112.1117,1632132804.5503,1881757322.6271,1928562891.6852,1938368994.6783,2088817236.6839,2171884374.3528,2371130741.9301,2664522089.2492,2742516181.5839,2602837107.2731,2523877804.891,2830753156.3368,2906364033.3405,3117605666.8274,3064462925.2436,2964345458.4364,3066935518.3686,3140059701.5669,3074662272.0198,3294560701.9172,3338336410.8879,3206670740.056,3098175597.2162,2966646583.4889,3007519049.5403
Europe,7986395309.5701,8265989269.0623,8496266854.2507,8969208092.5326,8887803068.4241,8875864418.901,9059245853.7032,9167439071.2449,9464160362.5238,9805714020.3928,9727611137.2863,9253750138.5853,9186515856.1863,9105938672.4495,9160624401.4687,9379679700.1683,9988658989.9391,10433480185.029,10716494553.61,10768216809.123,10964704853.946,9851067959.1485,10633667405.638,10280211373.766,10268888424.41,10498176942.841,10427187706.004,10636092540.06,11216162427.021,11860684152.061,11699587940.128,11327064671.583,11664473347.793,11966583716.415,12503654381.965,12807052481.369,13245716586.097,13796983112.471,13647098525.441,12016914106.812,12248430390.706,12810004691.534,12027852610.135,12130572835.042,11988830500.303,11765598440.621,11852299791.61,11859840198.367,12341552887.461,12240708450.736,12009649004.625,12713253483.941,12640588598.834,13121102032.238,13463378788.032
Latin America + Caribbean,2366382327.439,2421318218.5739,2451568696.075,2589097178.9399,2729623135.1113,2778502377.6167,2984957439.5449,3102490234.8925,3247845584.9902,3360420065.4651,3548298663.6051,3770998735.2843,3733818843.5754,3581166699.9132,3703369927.7616,3836180377.9825,3816933974.9727,3956531654.911,4013892428.056,4071044559.7785,4139010075.236,4239641933.2467,4551098401.4557,4490515599.035,4716664384.4692,4666588682.6531,4853219458.408,5135954383.4671,5419824566.596,5352782929.3193,5417186266.633,5460479005.7284,5367168363.909,5334921731.7588,5512530743.4693,5757861171.2118,6076141720.4063,6658951426.9666,6948061140.7731,6653190591.2279,7155397353.349,7666876288.2504,7866409303.159,8224799119.8116,8120656103.0685,8019773544.8947,7745614083.19,7814399413.2417,7712581167.3387,7887392631.0342,7639094039.861,7971322401.9987,8124879671.3497,8300031784.9115,8407879100.7437
North America,7266188567.6479,7479629186.8579,7633518093.5507,7896753773.8497,7736962787.6525,7311134313.4497,7468034525.5945,7686511903.7621,7914871736.8778,8091916962.9179,7616388153.7814,7580049310.7488,7380459603.459,7451769113.7657,8162173567.3604,8600655903.9909,8565898566.2864,8820875661.7984,8868345323.4918,8977263228.5903,9118615481.7751,8523645148.962,8902334278.0414,8993231532.1591,9564378431.0836,9513720739.9829,9653682695.7375,10254280114.605,10779462941.271,11084870213.094,11583033193.064,11372342679.392,11508002756.054,11656578869.721,12179311116.251,12619955143.131,12571541653.407,12112613035.626,11367945427.48,10237528182.612,10450444056.549,10441752599.421,10727410957.384,10882131482.555,11193402057.919,11423001712.862,11529469596.535,11660410439.68,11768592235.755,11771575924.654,11626366372.014,12022461117.819,12122664835.017,12279725149.26,12371582033.903
USSR,3739729698.6253,3766135608.9725,3780210577.7241,4058705971.7866,3906509400.626,3863212998.8697,4103424170.448,4032755216.2059,4133499378.2568,3952672825.6621,3901552439.3428,3838078022.0067,3998961791.1045,4088993907.8537,4074635680.8279,4097452560.5243,4032632478.9013,3940900960.5485,3818850445.1801,3862516039.6728,3830843536.5055,4002853356.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rossia,,,,,,,,,,,,,,,,,,,,,,,1673714308.9036,1685743435.4741,1616356126.4059,1481806178.2846,1403882209.4294,1411610238.4317,1152440628.0637,988131700.2247,985745855.7725,1116765449.9154,1168488520.4399,1151484725.5761,1270611228.5904,1314580353.9858,1434984949.6595,1636688020.3698,1707391604.3071,1589904288.5414,1521266505.6458,1719370298.1574,1734074836.1442,1859717619.9554,1760274785.8558,1702506804.5094,1793737392.0295,1855859265.8853,1685182642.9623,1886516489.1436,1983588833.0469,1830820092.8609,1780237445.676,1688136255.7071,1695029286.0567
